year,month,tavg
2001,1,40.9
2001,2,42.1
2001,3,46.9
2001,4,48.1
2001,5,57.5
2001,6,56.8
2001,7,66.3
2001,8,67.3
2001,9,63.8
2001,10,53.0
2001,11,47.8
2001,12,41.5
2002,1,41.3
2002,2,43.5
2002,3,44.0
2002,4,50.7
2002,5,54.2
2002,6,62.2
2002,7,69.1
2002,8,67.4
2002,9,63.4
2002,10,52.3
2002,11,46.6
2002,12,43.4
2003,1,45.1
2003,2,43.8
2003,3,49.2
2003,4,49.8
2003,5,56.0
2003,6,64.4
2003,7,70.5
2003,8,68.9
2003,9,65.0
2003,10,57.1
2003,11,44.4
2003,12,41.0
2004,1,39.9
2004,2,43.8
2004,3,49.4
2004,4,52.8
2004,5,56.9
2004,6,63.2
2004,7,70.2
2004,8,70.3
2004,9,60.8
2004,10,54.5
2004,11,44.0
2004,12,42.8
2005,1,40.5
2005,2,41.5
2005,3,48.9
2005,4,50.2
2005,5,58.2
2005,6,59.9
2005,7,69.1
2005,8,68.6
2005,9,60.2
2005,10,54.1
2005,11,42.1
2005,12,39.6
2006,1,44.4
2006,2,41.1
2006,3,44.6
2006,4,50.9
2006,5,57.5
2006,6,64.0
2006,7,69.5
2006,8,66.8
2006,9,62.7
2006,10,51.6
2006,11,46.6
2006,12,39.4
2007,1,37.8
2007,2,43.9
2007,3,49.3
2007,4,50.0
2007,5,56.7
2007,6,60.9
2007,7,69.2
2007,8,66.8
2007,9,60.9
2007,10,51.2
2007,11,43.3
2007,12,40.5
2008,1,37.1
2008,2,43.0
2008,3,43.1
2008,4,46.2
2008,5,56.6
2008,6,59.3
2008,7,67.7
2008,8,66.8
2008,9,62.1
2008,10,51.8
2008,11,47.8
2008,12,37.6
2009,1,39.3
2009,2,40.4
2009,3,43.9
2009,4,49.6
2009,5,57.5
2009,6,62.8
2009,7,70.6
2009,8,67.6
2009,9,63.5
2009,10,53.2
2009,11,46.4
2009,12,37.0
2010,1,46.3
2010,2,46.4
2010,3,47.1
2010,4,49.3
2010,5,53.7
2010,6,59.7
2010,7,67.2
2010,8,66.5
2010,9,62.9
2010,10,54.4
2010,11,45.6
2010,12,43.8
2011,1,42.7
2011,2,40.7
2011,3,46.5
2011,4,47.4
2011,5,53.0
2011,6,60.5
2011,7,65.7
2011,8,68.3
2011,9,66.1
2011,10,54.0
2011,11,44.9
2011,12,38.5
2012,1,42.1
2012,2,42.5
2012,3,43.7
2012,4,51.3
2012,5,55.7
2012,6,59.2
2012,7,66.2
2012,8,68.6
2012,9,63.6
2012,10,54.8
2012,11,47.9
2012,12,42.4
2013,1,36.9
2013,2,43.4
2013,3,47.7
2013,4,51.9
2013,5,57.9
2013,6,63.7
2013,7,69.9
2013,8,69.6
2013,9,64.2
2013,10,50.6
2013,11,45.3
2013,12,36.2
2014,1,40.9
2014,2,41.9
2014,3,49.3
2014,4,52.6
2014,5,59.6
2014,6,62.4
2014,7,71.9
2014,8,72.1
2014,9,66.1
2014,10,59.0
2014,11,46.0
2014,12,44.9
2015,1,43.7
2015,2,48.8
2015,3,51.1
2015,4,50.8
2015,5,59.1
2015,6,69.0
2015,7,72.6
2015,8,70.9
2015,9,62.4
2015,10,58.3
2015,11,44.6
2015,12,43.9
2016,1,43.0
2016,2,47.9
2016,3,49.1
2016,4,56.0
2016,5,59.9
2016,6,65.0
2016,7,67.7
2016,8,70.7
2016,9,62.0
2016,10,54.9
2016,11,50.9
2016,12,37.2
2017,1,35.9
2017,2,42.4
2017,3,48.1
2017,4,50.0
2017,5,58.3
2017,6,64.4
2017,7,69.6
2017,8,72.4
2017,9,65.6
2017,10,53.4
2017,11,47.5
2017,12,39.3
2018,1,45.3
2018,2,42.4
2018,3,45.5
2018,4,51.9
2018,5,59.7
2018,6,63.5
2018,7,72.0
2018,8,69.6
2018,9,62.0
2018,10,55.3
2018,11,47.2
2018,12,43.1
2019,1,42.4
2019,2,38.6
2019,3,45.6
2019,4,52.9
2019,5,58.1
2019,6,63.5
2019,7,67.4
2019,8,68.9
2019,9,61.6
2019,10,49.2
2019,11,43.8
2019,12,41.8
2020,1,45.3
2020,2,42.1
2020,3,44.2
2020,4,51.9
2020,5,57.5
2020,6,61.7
2020,7,68.2
2020,8,68.7
2020,9,64.4
2020,10,53.5
2020,11,44.6
2020,12,41.9
2021,1,43.5
2021,2,41.7
2021,3,44.0
2021,4,53.5
2021,5,58.8
2021,6,69.2
2021,7,72.3
2021,8,71.6
2021,9,65.4
2021,10,53.8
2021,11,50.3
2021,12,42.8
2022,1,42.1
2022,2,43.2
2022,3,49.3
2022,4,48.4
2022,5,55.3
2022,6,63.6
2022,7,72.2
2022,8,71.8
2022,9,66.6
2022,10,58.1
2022,11,41.5
2022,12,40.6
2023,1,42.9
2023,2,39.8
2023,3,42.6
2023,4,49.6
2023,5,61.5
2023,6,64.1
2023,7,70.8
2023,8,72.5
2023,9,63.3
2023,10,54.8
2023,11,45.4
2023,12,44.9
2024,1,42.1
2024,2,45.0
2024,3,46.7
2024,4,51.2
2024,5,60.4
2024,6,66.4
2024,7,74.2
2024,8,70.6
2024,9,66.4
2024,10,53.5
