year,month,tavg
2001,1,27.7
2001,2,26.8
2001,3,35.3
2001,4,44.5
2001,5,52.8
2001,6,64.6
2001,7,72.4
2001,8,69.7
2001,9,61.8
2001,10,47.4
2001,11,39.1
2001,12,29.4
2002,1,27.8
2002,2,29.4
2002,3,29.8
2002,4,43.1
2002,5,51.5
2002,6,68.0
2002,7,73.8
2002,8,66.6
2002,9,59.4
2002,10,39.5
2002,11,34.6
2002,12,32.5
2003,1,35.3
2003,2,25.0
2003,3,37.8
2003,4,46.0
2003,5,53.7
2003,6,58.5
2003,7,75.4
2003,8,70.9
2003,9,56.6
2003,10,51.7
2003,11,33.6
2003,12,30.3
2004,1,30.6
2004,2,29.0
2004,3,42.3
2004,4,44.6
2004,5,55.7
2004,6,60.7
2004,7,67.5
2004,8,65.4
2004,9,58.9
2004,10,48.3
2004,11,35.1
2004,12,31.9
2005,1,32.1
2005,2,33.0
2005,3,36.3
2005,4,43.4
2005,5,52.3
2005,6,61.9
2005,7,72.1
2005,8,66.0
2005,9,61.8
2005,10,48.1
2005,11,39.1
2005,12,28.1
2006,1,35.1
2006,2,27.0
2006,3,32.7
2006,4,47.4
2006,5,55.2
2006,6,68.2
2006,7,71.7
2006,8,67.5
2006,9,53.7
2006,10,44.4
2006,11,37.2
2006,12,29.8
2007,1,22.9
2007,2,30.6
2007,3,41.6
2007,4,42.1
2007,5,53.3
2007,6,64.8
2007,7,71.6
2007,8,69.4
2007,9,59.0
2007,10,48.4
2007,11,38.0
2007,12,23.8
2008,1,24.5
2008,2,30.2
2008,3,34.3
2008,4,41.4
2008,5,50.7
2008,6,61.2
2008,7,72.0
2008,8,65.5
2008,9,55.6
2008,10,46.3
2008,11,39.6
2008,12,25.9
2009,1,30.3
2009,2,33.3
2009,3,36.7
2009,4,40.2
2009,5,53.2
2009,6,58.6
2009,7,65.3
2009,8,65.1
2009,9,58.4
2009,10,37.1
2009,11,37.7
2009,12,21.7
2010,1,28.8
2010,2,24.8
2010,3,35.9
2010,4,41.6
2010,5,48.5
2010,6,62.8
2010,7,67.9
2010,8,68.8
2010,9,61.9
2010,10,49.6
2010,11,33.6
2010,12,30.7
2011,1,27.8
2011,2,24.9
2011,3,37.6
2011,4,41.2
2011,5,47.0
2011,6,62.3
2011,7,70.6
2011,8,70.2
2011,9,59.0
2011,10,47.0
2011,11,35.4
2011,12,26.3
2012,1,33.0
2012,2,25.6
2012,3,44.8
2012,4,48.6
2012,5,55.3
2012,6,68.8
2012,7,72.1
2012,8,69.6
2012,9,60.8
2012,10,44.4
2012,11,40.6
2012,12,28.1
2013,1,28.0
2013,2,26.7
2013,3,34.5
2013,4,36.3
2013,5,52.4
2013,6,66.4
2013,7,68.8
2013,8,69.0
2013,9,60.6
2013,10,42.6
2013,11,36.6
2013,12,26.4
2014,1,29.6
2014,2,23.2
2014,3,36.1
2014,4,43.7
2014,5,52.1
2014,6,61.2
2014,7,68.8
2014,8,66.3
2014,9,60.0
2014,10,51.0
2014,11,33.2
2014,12,29.5
2015,1,32.2
2015,2,32.0
2015,3,41.6
2015,4,44.1
2015,5,47.8
2015,6,65.4
2015,7,67.5
2015,8,68.8
2015,9,64.3
2015,10,52.1
2015,11,34.3
2015,12,27.9
2016,1,29.7
2016,2,35.8
2016,3,37.9
2016,4,43.3
2016,5,49.8
2016,6,67.6
2016,7,71.0
2016,8,66.3
2016,9,60.1
2016,10,52.5
2016,11,42.0
2016,12,26.4
2017,1,27.2
2017,2,35.3
2017,3,43.0
2017,4,44.4
2017,5,50.5
2017,6,64.6
2017,7,72.2
2017,8,66.0
2017,9,59.4
2017,10,45.9
2017,11,41.4
2017,12,30.5
2018,1,32.4
2018,2,26.1
2018,3,37.6
2018,4,42.4
2018,5,55.7
2018,6,66.2
2018,7,69.7
2018,8,66.4
2018,9,62.3
2018,10,44.0
2018,11,34.0
2018,12,29.7
2019,1,30.8
2019,2,25.2
2019,3,31.4
2019,4,44.3
2019,5,46.5
2019,6,60.8
2019,7,70.0
2019,8,69.5
2019,9,63.4
2019,10,39.7
2019,11,34.6
2019,12,31.6
2020,1,31.3
2020,2,27.2
2020,3,37.2
2020,4,41.2
2020,5,53.9
2020,6,66.3
2020,7,70.8
2020,8,72.4
2020,9,60.0
2020,10,45.1
2020,11,39.9
2020,12,31.4
2021,1,29.7
2021,2,21.9
2021,3,35.0
2021,4,40.8
2021,5,50.9
2021,6,67.5
2021,7,72.5
2021,8,70.0
2021,9,64.1
2021,10,49.2
2021,11,43.2
2021,12,35.3
2022,1,29.8
2022,2,25.7
2022,3,35.9
2022,4,42.7
2022,5,52.3
2022,6,66.9
2022,7,72.9
2022,8,71.5
2022,9,63.9
2022,10,48.7
2022,11,31.2
2022,12,28.4
2023,1,26.2
2023,2,28.8
2023,3,31.1
2023,4,42.0
2023,5,55.2
2023,6,60.6
2023,7,68.5
2023,8,68.1
2023,9,62.7
2023,10,47.7
2023,11,39.2
2023,12,34.3
2024,1,25.7
2024,2,33.8
2024,3,37.0
2024,4,45.3
2024,5,51.6
2024,6,67.4
2024,7,70.5
2024,8,68.9
2024,9,64.2
2024,10,47.2
2024,11,39.0
